SVID,PRN,Azimuth,Elevation
6,G06,43.89,17.71
5,G05,158.86,37.49
25,G25,310.62,54.62
11,G11,35.78,58.26
20,G20,122.08,55.83
19,G19,83.58,7.27
28,G28,314.52,8.47
18,G18,230.82,0.92
94,E24,291.48,84.49
103,E33,42.96,17.83
95,E25,317.27,29.99
81,E11,237.89,48.28
101,E31,141.36,40.11
84,E14,295.16,39.59
82,E12,19.17,71.39
80,E10,266.85,75.73
106,E36,228.88,1.36
47,R10,207.81,64.56
42,R05,98.42,11.87
46,R09,171.43,24.89
41,R04,50.9,10.1
48,R11,318.33,43.15
58,R21,279.72,42.94
57,R20,9.71,48.11
59,R22,246.46,2.64
226,X226,309.97,59.92
230,X230,54.69,10.38
165,B25,320.2,10.73
159,B19,78.86,18.99
166,B26,196.02,42.57
174,B34,266.29,15.84
162,B22,132.53,17.54
175,B35,41.8,48.07
152,B12,280.32,42.27
164,B24,277.86,50.06
160,B20,36.32,1.74
227,X227,160.69,1.6
179,B39,326.75,2.55
12,G12,263.02,87.89
24,G24,205.61,14.39
29,G29,293.64,26.44
6,G06,43.89,17.71
5,G05,158.86,37.49
25,G25,310.62,54.62
11,G11,35.78,58.26
20,G20,122.08,55.83
19,G19,83.58,7.27
28,G28,314.52,8.47
18,G18,230.82,0.92
94,E24,291.48,84.49
103,E33,42.96,17.83
95,E25,317.27,29.99
81,E11,237.89,48.28
101,E31,141.36,40.11
84,E14,295.16,39.59
82,E12,19.17,71.39
80,E10,266.85,75.73
106,E36,228.88,1.36
47,R10,207.81,64.56
42,R05,98.42,11.87
46,R09,171.43,24.89
41,R04,50.9,10.1
48,R11,318.33,43.15
58,R21,279.72,42.94
57,R20,9.71,48.11
59,R22,246.46,2.64
226,X226,309.97,59.92
230,X230,54.69,10.38
165,B25,320.2,10.73
159,B19,78.86,18.99
166,B26,196.02,42.57
174,B34,266.29,15.84
162,B22,132.53,17.54
175,B35,41.8,48.07
152,B12,280.32,42.27
164,B24,277.86,50.06
160,B20,36.32,1.74
227,X227,160.69,1.6
179,B39,326.75,2.55
12,G12,263.02,87.89
24,G24,205.61,14.39
29,G29,293.64,26.44
6,G06,43.89,17.71
5,G05,158.86,37.49
25,G25,310.62,54.62
11,G11,35.78,58.26
20,G20,122.08,55.83
19,G19,83.58,7.27
28,G28,314.52,8.47
18,G18,230.82,0.92
94,E24,291.48,84.49
103,E33,42.96,17.83
95,E25,317.27,29.99
81,E11,237.89,48.28
101,E31,141.36,40.11
84,E14,295.16,39.59
82,E12,19.17,71.39
80,E10,266.85,75.73
106,E36,228.88,1.36
47,R10,207.81,64.56
42,R05,98.42,11.87
46,R09,171.43,24.89
41,R04,50.9,10.1
48,R11,318.33,43.15
58,R21,279.72,42.94
57,R20,9.71,48.11
59,R22,246.46,2.64
226,X226,309.97,59.92
230,X230,54.69,10.38
165,B25,320.2,10.73
159,B19,78.86,18.99
166,B26,196.02,42.57
174,B34,266.29,15.84
162,B22,132.53,17.54
175,B35,41.8,48.07
152,B12,280.32,42.27
164,B24,277.86,50.06
160,B20,36.32,1.74
227,X227,160.69,1.6
179,B39,326.75,2.55
12,G12,262.32,87.9
24,G24,205.6,14.38
29,G29,293.66,26.45
6,G06,43.9,17.69
5,G05,158.85,37.51
25,G25,310.6,54.64
11,G11,35.78,58.23
20,G20,122.04,55.84
19,G19,83.6,7.26
28,G28,314.5,8.48
18,G18,230.83,0.93
94,E24,291.31,84.5
103,E33,42.97,17.81
95,E25,317.27,30.01
81,E11,237.91,48.3
101,E31,141.38,40.09
84,E14,295.17,39.6
82,E12,19.18,71.37
80,E10,266.93,75.74
106,E36,228.89,1.37
47,R10,207.78,64.53
42,R05,98.4,11.88
46,R09,171.43,24.86
41,R04,50.88,10.1
48,R11,318.31,43.17
58,R21,279.76,42.95
57,R20,9.74,48.09
59,R22,246.48,2.66
226,X226,310.01,59.93
230,X230,54.67,10.37
165,B25,320.19,10.74
159,B19,78.83,19.0
166,B26,196.01,42.55
174,B34,266.3,15.85
162,B22,132.51,17.56
175,B35,41.82,48.05
152,B12,280.35,42.28
164,B24,277.83,50.06
160,B20,36.3,1.74
227,X227,160.69,1.59
179,B39,326.74,2.55
12,G12,262.32,87.9
24,G24,205.6,14.38
29,G29,293.66,26.45
6,G06,43.9,17.69
5,G05,158.85,37.51
25,G25,310.6,54.64
11,G11,35.78,58.23
20,G20,122.04,55.84
19,G19,83.6,7.26
28,G28,314.5,8.48
18,G18,230.83,0.93
94,E24,291.31,84.5
103,E33,42.97,17.81
95,E25,317.27,30.01
81,E11,237.91,48.3
101,E31,141.38,40.09
84,E14,295.17,39.6
82,E12,19.18,71.37
80,E10,266.93,75.74
106,E36,228.89,1.37
47,R10,207.78,64.53
42,R05,98.4,11.88
46,R09,171.43,24.86
41,R04,50.88,10.1
48,R11,318.31,43.17
58,R21,279.76,42.95
57,R20,9.74,48.09
59,R22,246.48,2.66
226,X226,310.01,59.93
230,X230,54.67,10.37
165,B25,320.19,10.74
159,B19,78.83,19.0
166,B26,196.01,42.55
174,B34,266.3,15.85
162,B22,132.51,17.56
175,B35,41.82,48.05
152,B12,280.35,42.28
164,B24,277.83,50.06
160,B20,36.3,1.74
227,X227,160.69,1.59
179,B39,326.74,2.55
12,G12,262.32,87.9
24,G24,205.6,14.38
29,G29,293.66,26.45
6,G06,43.9,17.69
5,G05,158.85,37.51
25,G25,310.6,54.64
11,G11,35.78,58.23
20,G20,122.04,55.84
19,G19,83.6,7.26
28,G28,314.5,8.48
18,G18,230.83,0.93
94,E24,291.31,84.5
103,E33,42.97,17.81
95,E25,317.27,30.01
81,E11,237.91,48.3
101,E31,141.38,40.09
84,E14,295.17,39.6
82,E12,19.18,71.37
80,E10,266.93,75.74
106,E36,228.89,1.37
47,R10,207.78,64.53
42,R05,98.4,11.88
46,R09,171.43,24.86
41,R04,50.88,10.1
48,R11,318.31,43.17
58,R21,279.76,42.95
57,R20,9.74,48.09
59,R22,246.48,2.66
226,X226,310.01,59.93
230,X230,54.67,10.37
165,B25,320.19,10.74
159,B19,78.83,19.0
166,B26,196.01,42.55
174,B34,266.3,15.85
162,B22,132.51,17.56
175,B35,41.82,48.05
152,B12,280.35,42.28
164,B24,277.83,50.06
160,B20,36.3,1.74
227,X227,160.69,1.59
179,B39,326.74,2.55
12,G12,261.62,87.9
24,G24,205.58,14.36
29,G29,293.68,26.47
6,G06,43.9,17.67
5,G05,158.83,37.53
25,G25,310.59,54.66
11,G11,35.78,58.21
20,G20,122.0,55.86
19,G19,83.61,7.25
28,G28,314.48,8.49
18,G18,230.84,0.95
94,E24,291.13,84.51
103,E33,42.97,17.8
95,E25,317.27,30.03
81,E11,237.93,48.31
101,E31,141.39,40.08
84,E14,295.19,39.62
82,E12,19.19,71.35
80,E10,267.01,75.74
106,E36,228.9,1.39
47,R10,207.75,64.5
42,R05,98.38,11.9
46,R09,171.43,24.83
41,R04,50.85,10.1
48,R11,318.28,43.19
58,R21,279.79,42.96
57,R20,9.77,48.07
59,R22,246.5,2.67
226,X226,310.05,59.93
230,X230,54.66,10.37
165,B25,320.18,10.76
159,B19,78.81,19.0
166,B26,196.0,42.53
174,B34,266.32,15.86
162,B22,132.5,17.57
175,B35,41.84,48.04
152,B12,280.37,42.29
164,B24,277.79,50.06
160,B20,36.29,1.73
227,X227,160.69,1.57
179,B39,326.73,2.55
12,G12,261.62,87.9
24,G24,205.58,14.36
29,G29,293.68,26.47
6,G06,43.9,17.67
5,G05,158.83,37.53
25,G25,310.59,54.66
11,G11,35.78,58.21
20,G20,122.0,55.86
19,G19,83.61,7.25
28,G28,314.48,8.49
18,G18,230.84,0.95
94,E24,291.13,84.51
103,E33,42.97,17.8
95,E25,317.27,30.03
81,E11,237.93,48.31
101,E31,141.39,40.08
84,E14,295.19,39.62
82,E12,19.19,71.35
80,E10,267.01,75.74
106,E36,228.9,1.39
47,R10,207.75,64.5
42,R05,98.38,11.9
46,R09,171.43,24.83
41,R04,50.85,10.1
48,R11,318.28,43.19
58,R21,279.79,42.96
57,R20,9.77,48.07
59,R22,246.5,2.67
226,X226,310.05,59.93
230,X230,54.66,10.37
165,B25,320.18,10.76
159,B19,78.81,19.0
166,B26,196.0,42.53
174,B34,266.32,15.86
162,B22,132.5,17.57
175,B35,41.84,48.04
152,B12,280.37,42.29
164,B24,277.79,50.06
160,B20,36.29,1.73
227,X227,160.69,1.57
179,B39,326.73,2.55
12,G12,261.62,87.9
24,G24,205.58,14.36
29,G29,293.68,26.47
6,G06,43.9,17.67
5,G05,158.83,37.53
25,G25,310.59,54.66
11,G11,35.78,58.21
20,G20,122.0,55.86
19,G19,83.61,7.25
28,G28,314.48,8.49
18,G18,230.84,0.95
94,E24,291.13,84.51
103,E33,42.97,17.8
95,E25,317.27,30.03
81,E11,237.93,48.31
101,E31,141.39,40.08
84,E14,295.19,39.62
82,E12,19.19,71.35
80,E10,267.01,75.74
106,E36,228.9,1.39
47,R10,207.75,64.5
42,R05,98.38,11.9
46,R09,171.43,24.83
41,R04,50.85,10.1
48,R11,318.28,43.19
58,R21,279.79,42.96
57,R20,9.77,48.07
59,R22,246.5,2.67
226,X226,310.05,59.93
230,X230,54.66,10.37
165,B25,320.18,10.76
159,B19,78.81,19.0
166,B26,196.0,42.53
174,B34,266.32,15.86
162,B22,132.5,17.57
175,B35,41.84,48.04
152,B12,280.37,42.29
164,B24,277.79,50.06
160,B20,36.29,1.73
227,X227,160.69,1.57
179,B39,326.73,2.55
12,G12,260.92,87.91
24,G24,205.57,14.34
29,G29,293.7,26.48
6,G06,43.91,17.66
5,G05,158.82,37.55
25,G25,310.57,54.69
11,G11,35.79,58.19
20,G20,121.96,55.87
19,G19,83.63,7.23
28,G28,314.46,8.49
18,G18,230.85,0.97
94,E24,290.96,84.52
103,E33,42.98,17.78
95,E25,317.27,30.04
81,E11,237.96,48.32
101,E31,141.41,40.06
84,E14,295.21,39.63
82,E12,19.2,71.33
80,E10,267.1,75.75
106,E36,228.91,1.4
47,R10,207.72,64.47
42,R05,98.36,11.91
46,R09,171.43,24.81
41,R04,50.83,10.1
48,R11,318.26,43.21
58,R21,279.83,42.97
57,R20,9.8,48.05
59,R22,246.52,2.69
226,X226,310.09,59.94
230,X230,54.64,10.37
165,B25,320.17,10.77
159,B19,78.79,19.01
166,B26,195.99,42.51
174,B34,266.34,15.88
162,B22,132.48,17.59
175,B35,41.86,48.02
152,B12,280.4,42.3
164,B24,277.76,50.07
160,B20,36.27,1.73
227,X227,160.69,1.55
179,B39,326.73,2.55
12,G12,260.92,87.91
24,G24,205.57,14.34
29,G29,293.7,26.48
6,G06,43.91,17.66
5,G05,158.82,37.55
25,G25,310.57,54.69
11,G11,35.79,58.19
20,G20,121.96,55.87
19,G19,83.63,7.23
28,G28,314.46,8.49
18,G18,230.85,0.97
94,E24,290.96,84.52
103,E33,42.98,17.78
95,E25,317.27,30.04
81,E11,237.96,48.32
101,E31,141.41,40.06
84,E14,295.21,39.63
82,E12,19.2,71.33
80,E10,267.1,75.75
106,E36,228.91,1.4
47,R10,207.72,64.47
42,R05,98.36,11.91
46,R09,171.43,24.81
41,R04,50.83,10.1
48,R11,318.26,43.21
58,R21,279.83,42.97
57,R20,9.8,48.05
59,R22,246.52,2.69
226,X226,310.09,59.94
230,X230,54.64,10.37
165,B25,320.17,10.77
159,B19,78.79,19.01
166,B26,195.99,42.51
174,B34,266.34,15.88
162,B22,132.48,17.59
175,B35,41.86,48.02
152,B12,280.4,42.3
164,B24,277.76,50.07
160,B20,36.27,1.73
227,X227,160.69,1.55
179,B39,326.73,2.55
12,G12,260.92,87.91
24,G24,205.57,14.34
29,G29,293.7,26.48
6,G06,43.91,17.66
5,G05,158.82,37.55
25,G25,310.57,54.69
11,G11,35.79,58.19
20,G20,121.96,55.87
19,G19,83.63,7.23
28,G28,314.46,8.49
18,G18,230.85,0.97
94,E24,290.96,84.52
103,E33,42.98,17.78
95,E25,317.27,30.04
81,E11,237.96,48.32
101,E31,141.41,40.06
84,E14,295.21,39.63
82,E12,19.2,71.33
80,E10,267.1,75.75
106,E36,228.91,1.4
47,R10,207.72,64.47
42,R05,98.36,11.91
46,R09,171.43,24.81
41,R04,50.83,10.1
48,R11,318.26,43.21
58,R21,279.83,42.97
57,R20,9.8,48.05
59,R22,246.52,2.69
226,X226,310.09,59.94
230,X230,54.64,10.37
165,B25,320.17,10.77
159,B19,78.79,19.01
166,B26,195.99,42.51
174,B34,266.34,15.88
162,B22,132.48,17.59
175,B35,41.86,48.02
152,B12,280.4,42.3
164,B24,277.76,50.07
160,B20,36.27,1.73
227,X227,160.69,1.55
179,B39,326.73,2.55
12,G12,260.22,87.91
24,G24,205.56,14.33
29,G29,293.72,26.5
6,G06,43.92,17.64
5,G05,158.81,37.58
25,G25,310.55,54.71
11,G11,35.79,58.17
20,G20,121.93,55.88
19,G19,83.65,7.22
28,G28,314.45,8.5
18,G18,230.87,0.98
94,E24,290.78,84.54
103,E33,42.99,17.77
95,E25,317.27,30.06
81,E11,237.98,48.34
101,E31,141.42,40.04
84,E14,295.23,39.64
82,E12,19.21,71.31
80,E10,267.18,75.76
106,E36,228.92,1.41
47,R10,207.69,64.45
42,R05,98.33,11.93
46,R09,171.44,24.78
41,R04,50.8,10.11
48,R11,318.24,43.23
58,R21,279.87,42.98
57,R20,9.83,48.04
59,R22,246.54,2.7
226,X226,310.13,59.94
230,X230,54.62,10.37
165,B25,320.16,10.79
159,B19,78.77,19.01
166,B26,195.99,42.49
174,B34,266.36,15.89
162,B22,132.47,17.6
175,B35,41.88,48.01
152,B12,280.43,42.31
164,B24,277.72,50.07
160,B20,36.26,1.72
227,X227,160.69,1.53
179,B39,326.72,2.55
12,G12,260.22,87.91
24,G24,205.56,14.33
29,G29,293.72,26.5
6,G06,43.92,17.64
5,G05,158.81,37.58
25,G25,310.55,54.71
11,G11,35.79,58.17
20,G20,121.93,55.88
19,G19,83.65,7.22
28,G28,314.45,8.5
18,G18,230.87,0.98
94,E24,290.78,84.54
103,E33,42.99,17.77
95,E25,317.27,30.06
81,E11,237.98,48.34
101,E31,141.42,40.04
84,E14,295.23,39.64
82,E12,19.21,71.31
80,E10,267.18,75.76
106,E36,228.92,1.41
47,R10,207.69,64.45
42,R05,98.33,11.93
46,R09,171.44,24.78
41,R04,50.8,10.11
48,R11,318.24,43.23
58,R21,279.87,42.98
57,R20,9.83,48.04
59,R22,246.54,2.7
226,X226,310.13,59.94
230,X230,54.62,10.37
165,B25,320.16,10.79
159,B19,78.77,19.01
166,B26,195.99,42.49
174,B34,266.36,15.89
162,B22,132.47,17.6
175,B35,41.88,48.01
152,B12,280.43,42.31
164,B24,277.72,50.07
160,B20,36.26,1.72
227,X227,160.69,1.53
179,B39,326.72,2.55
12,G12,260.22,87.91
24,G24,205.56,14.33
29,G29,293.72,26.5
6,G06,43.92,17.64
5,G05,158.81,37.58
25,G25,310.55,54.71
11,G11,35.79,58.17
20,G20,121.93,55.88
19,G19,83.65,7.22
28,G28,314.45,8.5
18,G18,230.87,0.98
94,E24,290.78,84.54
103,E33,42.99,17.77
95,E25,317.27,30.06
81,E11,237.98,48.34
101,E31,141.42,40.04
84,E14,295.23,39.64
82,E12,19.21,71.31
80,E10,267.18,75.76
106,E36,228.92,1.41
47,R10,207.69,64.45
42,R05,98.33,11.93
46,R09,171.44,24.78
41,R04,50.8,10.11
48,R11,318.24,43.23
58,R21,279.87,42.98
57,R20,9.83,48.04
59,R22,246.54,2.7
226,X226,310.13,59.94
230,X230,54.62,10.37
165,B25,320.16,10.79
159,B19,78.77,19.01
166,B26,195.99,42.49
174,B34,266.36,15.89
162,B22,132.47,17.6
175,B35,41.88,48.01
152,B12,280.43,42.31
164,B24,277.72,50.07
160,B20,36.26,1.72
227,X227,160.69,1.53
179,B39,326.72,2.55
12,G12,259.51,87.91
5,G05,158.8,37.6
24,G24,205.54,14.31
29,G29,293.74,26.51
6,G06,43.92,17.62
25,G25,310.54,54.73
11,G11,35.79,58.14
20,G20,121.89,55.9
19,G19,83.67,7.21
28,G28,314.43,8.51
18,G18,230.88,1.0
94,E24,290.6,84.55
103,E33,42.99,17.75
95,E25,317.26,30.07
81,E11,238.01,48.35
101,E31,141.44,40.02
84,E14,295.24,39.66
82,E12,19.22,71.29
80,E10,267.26,75.76
106,E36,228.93,1.43
47,R10,207.66,64.42
42,R05,98.31,11.94
46,R09,171.44,24.75
41,R04,50.78,10.11
48,R11,318.22,43.25
58,R21,279.91,42.99
57,R20,9.86,48.02
59,R22,246.56,2.71
226,X226,310.17,59.95
230,X230,54.6,10.37
165,B25,320.15,10.8
159,B19,78.75,19.02
166,B26,195.98,42.46
174,B34,266.37,15.9
162,B22,132.45,17.62
175,B35,41.9,48.0
152,B12,280.45,42.32
164,B24,277.69,50.07
160,B20,36.24,1.72
227,X227,160.68,1.52
179,B39,326.72,2.55
12,G12,259.51,87.91
5,G05,158.8,37.6
24,G24,205.54,14.31
29,G29,293.74,26.51
6,G06,43.92,17.62
25,G25,310.54,54.73
11,G11,35.79,58.14
20,G20,121.89,55.9
19,G19,83.67,7.21
28,G28,314.43,8.51
18,G18,230.88,1.0
94,E24,290.6,84.55
103,E33,42.99,17.75
95,E25,317.26,30.07
81,E11,238.01,48.35
101,E31,141.44,40.02
84,E14,295.24,39.66
82,E12,19.22,71.29
80,E10,267.26,75.76
106,E36,228.93,1.43
47,R10,207.66,64.42
42,R05,98.31,11.94
46,R09,171.44,24.75
41,R04,50.78,10.11
48,R11,318.22,43.25
58,R21,279.91,42.99
57,R20,9.86,48.02
59,R22,246.56,2.71
226,X226,310.17,59.95
230,X230,54.6,10.37
165,B25,320.15,10.8
159,B19,78.75,19.02
166,B26,195.98,42.46
174,B34,266.37,15.9
162,B22,132.45,17.62
175,B35,41.9,48.0
152,B12,280.45,42.32
164,B24,277.69,50.07
160,B20,36.24,1.72
227,X227,160.68,1.52
179,B39,326.72,2.55
12,G12,259.51,87.91
5,G05,158.8,37.6
24,G24,205.54,14.31
29,G29,293.74,26.51
6,G06,43.92,17.62
25,G25,310.54,54.73
11,G11,35.79,58.14
20,G20,121.89,55.9
19,G19,83.67,7.21
28,G28,314.43,8.51
18,G18,230.88,1.0
94,E24,290.6,84.55
103,E33,42.99,17.75
95,E25,317.26,30.07
81,E11,238.01,48.35
101,E31,141.44,40.02
84,E14,295.24,39.66
82,E12,19.22,71.29
80,E10,267.26,75.76
106,E36,228.93,1.43
47,R10,207.66,64.42
42,R05,98.31,11.94
46,R09,171.44,24.75
41,R04,50.78,10.11
48,R11,318.22,43.25
58,R21,279.91,42.99
57,R20,9.86,48.02
59,R22,246.56,2.71
226,X226,310.17,59.95
230,X230,54.6,10.37
165,B25,320.15,10.8
159,B19,78.75,19.02
166,B26,195.98,42.46
174,B34,266.37,15.9
162,B22,132.45,17.62
175,B35,41.9,48.0
152,B12,280.45,42.32
164,B24,277.69,50.07
160,B20,36.24,1.72
227,X227,160.68,1.52
179,B39,326.72,2.55
12,G12,258.8,87.92
5,G05,158.79,37.62
24,G24,205.53,14.3
29,G29,293.76,26.52
6,G06,43.93,17.6
25,G25,310.52,54.75
11,G11,35.8,58.12
20,G20,121.85,55.91
19,G19,83.68,7.19
28,G28,314.41,8.52
18,G18,230.89,1.02
94,E24,290.43,84.56
103,E33,43.0,17.74
95,E25,317.26,30.09
81,E11,238.03,48.37
101,E31,141.45,40.01
84,E14,295.26,39.67
82,E12,19.23,71.27
80,E10,267.34,75.77
106,E36,228.95,1.44
47,R10,207.63,64.39
42,R05,98.29,11.96
46,R09,171.44,24.73
41,R04,50.76,10.11
48,R11,318.19,43.27
58,R21,279.94,43.0
57,R20,9.89,48.0
59,R22,246.58,2.73
226,X226,310.21,59.95
230,X230,54.58,10.37
165,B25,320.14,10.81
159,B19,78.73,19.02
166,B26,195.97,42.44
174,B34,266.39,15.91
162,B22,132.44,17.63
175,B35,41.92,47.98
152,B12,280.48,42.33
164,B24,277.66,50.07
160,B20,36.22,1.71
227,X227,160.68,1.5
179,B39,326.71,2.55
12,G12,258.8,87.92
5,G05,158.79,37.62
24,G24,205.53,14.3
29,G29,293.76,26.52
6,G06,43.93,17.6
25,G25,310.52,54.75
11,G11,35.8,58.12
20,G20,121.85,55.91
19,G19,83.68,7.19
28,G28,314.41,8.52
18,G18,230.89,1.02
94,E24,290.43,84.56
103,E33,43.0,17.74
95,E25,317.26,30.09
81,E11,238.03,48.37
101,E31,141.45,40.01
84,E14,295.26,39.67
82,E12,19.23,71.27
80,E10,267.34,75.77
106,E36,228.95,1.44
47,R10,207.63,64.39
42,R05,98.29,11.96
46,R09,171.44,24.73
41,R04,50.76,10.11
48,R11,318.19,43.27
58,R21,279.94,43.0
57,R20,9.89,48.0
59,R22,246.58,2.73
226,X226,310.21,59.95
230,X230,54.58,10.37
165,B25,320.14,10.81
159,B19,78.73,19.02
166,B26,195.97,42.44
174,B34,266.39,15.91
162,B22,132.44,17.63
175,B35,41.92,47.98
152,B12,280.48,42.33
164,B24,277.66,50.07
160,B20,36.22,1.71
227,X227,160.68,1.5
179,B39,326.71,2.55
12,G12,258.8,87.92
5,G05,158.79,37.62
24,G24,205.53,14.3
29,G29,293.76,26.52
6,G06,43.93,17.6
25,G25,310.52,54.75
11,G11,35.8,58.12
20,G20,121.85,55.91
19,G19,83.68,7.19
28,G28,314.41,8.52
18,G18,230.89,1.02
94,E24,290.43,84.56
103,E33,43.0,17.74
